,Date,GME,SPY,IC
409,2021-08-17,40.887501,424.838226,0.6765163016739506
410,2021-08-18,39.262501,420.188385,0.699194466181294
411,2021-08-19,38.224998,420.838959,0.696435913109985
412,2021-08-20,39.825001,424.187622,0.706610244879039
413,2021-08-23,41.2225,427.918976,0.7232198321780777
414,2021-08-24,52.572498,428.598297,0.7433080076126393
415,2021-08-25,49.912498,429.497589,0.6896397663772498
416,2021-08-26,51.305,426.962189,0.5943286832395354
417,2021-08-27,51.237499,430.779694,0.5173101321026732
418,2021-08-30,52.299999,432.674072,0.45132226147608173
419,2021-08-31,54.560001,432.03302,0.37714212105121847
420,2021-09-01,53.2425,432.262665,0.32222972154339197
421,2021-09-02,53.380001,433.592499,0.2719205274064672
422,2021-09-03,50.6875,433.487244,0.279696120409823
423,2021-09-07,49.75,431.937347,0.3248109530753118
424,2021-09-08,49.700001,431.411163,0.40852092932570333
425,2021-09-09,49.794998,429.564606,0.4800743349992395
426,2021-09-10,47.602501,426.177734,0.5341010613298509
427,2021-09-13,50.849998,427.268372,0.5861536991045938
428,2021-09-14,49.810001,424.962585,0.6185998065415761
429,2021-09-15,51.130001,428.512177,0.637709904289252
430,2021-09-16,51.592499,427.832916,0.6630377254542615
431,2021-09-17,51.2425,423.665283,0.6916982652148045
432,2021-09-20,48.049999,416.601074,0.7377423359834877
433,2021-09-21,47.487499,416.20752,0.7700212874112163
434,2021-09-22,47.535,420.267548,0.7977941177528237
435,2021-09-23,47.810001,425.373779,0.8178682526849677
436,2021-09-24,46.290001,426.074493,0.8233428693322485
437,2021-09-27,47.369999,424.85556,0.7971639830637169
438,2021-09-28,44.650002,416.293915,0.8062808441744453
439,2021-09-29,43.98,416.994598,0.8109602868605869
440,2021-09-30,43.8675,411.897919,0.807956897274171
441,2021-10-01,44.227501,416.792999,0.808369485092607
442,2021-10-04,42.84,411.41803,0.80588528753028
443,2021-10-05,43.044998,415.698822,0.801684407987921
444,2021-10-06,42.767502,417.426483,0.7878234022220814
445,2021-10-07,43.029999,421.0354,0.7716571832918637
446,2021-10-08,43.169998,420.267548,0.7337411142024479
447,2021-10-11,44.525002,417.224915,0.6811003706651855
448,2021-10-12,43.955002,416.197968,0.6281851981301557
449,2021-10-13,46.014999,417.695221,0.5503574330047112
450,2021-10-14,45.9575,424.7211,0.48687604305136617
451,2021-10-15,45.82,427.955688,0.40310364183691855
452,2021-10-18,46.505001,429.222656,0.3753839606721595
453,2021-10-19,46.697498,432.534088,0.30560850866449635
454,2021-10-20,46.130001,434.232971,0.2704963267011369
455,2021-10-21,45.427502,435.36554,0.27508066567313455
456,2021-10-22,42.450001,434.914459,0.29877335980320113
457,2021-10-25,43.4925,437.246796,0.26814780354122864
458,2021-10-26,44.459999,437.64032,0.21485281200711545
459,2021-10-27,43.377499,435.701508,0.1487131788179069
460,2021-10-28,45.712502,439.905548,0.029469667381950917
461,2021-10-29,45.877499,440.798187,-0.054558572864997136
462,2021-11-01,50.022499,441.556458,-0.11205701008631437
463,2021-11-02,51.747501,443.341675,-0.1406538172896589
464,2021-11-03,54.5825,446.04837,-0.16728261042806913
465,2021-11-04,54.459999,448.150391,-0.1966417546843978
466,2021-11-05,53.3125,449.705292,-0.2344763430548413
467,2021-11-08,54.66,450.089264,-0.24987359063883222
468,2021-11-09,51.650002,448.601532,-0.26764040368677827
469,2021-11-10,49.797501,444.992584,-0.2680216859271819
470,2021-11-11,51.080002,445.136566,-0.2515208012803788
471,2021-11-12,50.525002,448.495911,-0.2525393113017025
472,2021-11-15,52.285,448.649445,-0.26992229641271903
473,2021-11-16,51.794998,450.42514,-0.2582726726143601
474,2021-11-17,52.5,449.330994,-0.2554497161756015
475,2021-11-18,52.529999,450.857086,-0.19422262009648908
476,2021-11-19,57.200001,450.050903,-0.11950744728078519
477,2021-11-22,61.887501,448.783844,-0.027518603271736115
478,2021-11-23,53.474998,449.379028,0.08613077969472402
479,2021-11-24,52.945,450.578735,0.1799592670926607
480,2021-11-26,49.93,440.529419,0.26461079044640146
481,2021-11-29,50.502499,445.933228,0.3728926210688031
482,2021-11-30,49.052502,437.25647,0.4632362813457006
483,2021-12-01,44.959999,432.399719,0.5581789017561037
484,2021-12-02,45.389999,439.022461,0.6338937747170307
485,2021-12-03,43.0975,435.202454,0.6862739714675108
486,2021-12-06,41.779999,440.356659,0.7309501448159973
487,2021-12-07,44.452499,449.465332,0.7699594394544981
488,2021-12-08,43.412498,450.655518,0.7927339568093092
489,2021-12-09,38.939999,447.612885,0.8107180248325209
490,2021-12-10,39.752499,451.826508,0.8177898075766928
491,2021-12-13,34.220001,447.824066,0.8185197891195869
492,2021-12-14,36.922501,444.743011,0.8156149178043997
493,2021-12-15,37.147499,451.6922,0.8057422110573944
494,2021-12-16,36.147499,447.708893,0.7961082792613403
495,2021-12-17,38.91,442.94397,0.7878486226158218
